Phage Accession	Host Species	Host Genus	Used in analysis	Phage Family	Dataset
NC_007062	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007063	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007064	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007065	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_007066	Staphylococcus aureus	Staphylococcus	1	Myoviridae	Network
NC_007145	Burkholderia pseudomallei	Burkholderia	1	Myoviridae	Network
NC_007149	Vibrio [pred]	Vibrio	1	Podoviridae	Network
NC_007291	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_007456	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_007457	Bacillus anthracis	Bacillus	1	Siphoviridae	Network
NC_007458	Bacillus cereus	Bacillus	1	Siphoviridae	Network
NC_007461	Chlamydophila abortus	Chlamydophila	1	Microviridae	Network
NC_007497	Burkholderia cepacia	Burkholderia	1	Siphoviridae	Network
NC_007603	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_007637	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_007734	Bacillus anthracis	Bacillus	1	Siphoviridae	Network
NC_007804	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_007805	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_007806	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_007807	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_007808	Pseudomonas aeruginosa	Pseudomonas	1	UnclassifieddsDNAPhage	Network
NC_007809	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_007810	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_007814	Bacillus anthracis	Bacillus	1	Siphoviridae	Network
NC_007817	Escherichia coli	Escherichia	1	Microviridae	Network
NC_007821	Escherichia coli	Escherichia	1	Microviridae	Network
NC_007856	Escherichia coli	Escherichia	1	Microviridae	Network
NC_007917	Clostridium difficile	Clostridium	1	Myoviridae	Network
NC_008152	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_008194	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_008195	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_008196	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_008197	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_008198	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_008199	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_008200	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_008203	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_008204	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_008205	Mycobacterium	Mycobacterium	1	Siphoviridae	Network
NC_008206	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_008207	Mycobacterium smegmatis	Mycobacterium	1	Myoviridae	Network
NC_008355	Chlamydia pecorum	Chlamydia	1	Microviridae	Network
NC_008363	Lactococcus lactis subsp. lactis IL1403	Lactococcus	1	Siphoviridae	Network
NC_008364	Lactococcus lactis SMQ-562	Lactococcus	1	Siphoviridae	Network
NC_008370	Lactococcus lactis subsp. cremoris NZ9000	Lactococcus	1	Siphoviridae	Network
NC_008371	Lactococcus lactis subsp. cremoris NZ9000	Lactococcus	1	Siphoviridae	Network
NC_008464	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_008562	Microcystis aeruginosa	Microcystis	1	Myoviridae	Network
NC_008583	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_008617	Staphylococcus [pred]	Staphylococcus	1	Siphoviridae	Network
NC_008689	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_008694	Yersinia pestis	Yersinia	1	Podoviridae	Network
NC_008717	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_008720	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_008721	Streptococcus suis	Streptococcus	1	Siphoviridae	Network
NC_008722	Staphylococcus epidermidis	Staphylococcus	1	Siphoviridae	Network
NC_008723	Staphylococcus epidermidis	Staphylococcus	1	Siphoviridae	Network
NC_008798	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_008799	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_009015	Burkholderia ambifaria	Burkholderia	1	Myoviridae	Network
NC_009016	Vibrio parahaemolyticus	Vibrio	1	Myoviridae	Network
NC_009018	Streptococcus dysgalactiae	Streptococcus	1	Siphoviridae	Network
NC_009231	Clostridium difficile	Clostridium	1	Myoviridae	Network
NC_009232	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_009234	Burkholderia thailandensis	Burkholderia	1	Myoviridae	Network
NC_009235	Burkholderia pseudomallei	Burkholderia	1	Siphoviridae	Network
NC_009236	Burkholderia pseudomallei	Burkholderia	1	Myoviridae	Network
NC_009237	Burkholderia thailandensis	Burkholderia	1	Myoviridae	Network
NC_009447	Burkholderia cepacia	Burkholderia	1	Siphoviridae	Network
NC_009514	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_009526	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_009540	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_009604	Burkholderia cenocepacia	Burkholderia	1	Myoviridae	Network
NC_009737	Bacillus sp. 6k512	Bacillus	1	Caudovirales	Network
NC_009760	Bacillus thuringiensis	Bacillus	1	Myoviridae	Network
NC_009761	Staphylococcus aureus	Staphylococcus	1	UnclassifiedPhage	Network
NC_009762	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_009763	Staphylococcus aureus	Staphylococcus	1	UnclassifiedPhage	Network
NC_009817	Lactococcus lactis subsp. cremoris IE-16	Lactococcus	1	Podoviridae	Network
NC_009818	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_009819	Streptococcus equi	Streptococcus	1	Siphoviridae	Network
NC_009820	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_009821	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_009875	Staphylococcus aureus	Staphylococcus	1	Podoviridae	Network
NC_009877	Mycobacterium [pred]	Mycobacterium	1	Siphoviridae	Network
NC_009878	Mycobacterium [pred]	Mycobacterium	1	Siphoviridae	Network
NC_009935	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_009936	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_009993	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_010105	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_010106	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_010116	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_010147	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_010237	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_010275	Vibrio cholerae	Vibrio	1	Myoviridae	Network
NC_010324	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_010325	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_010326	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_010353	Streptococcus thermophilus	Streptococcus	1	Siphoviridae	Network
NC_010391	Salmonella enterica	Salmonella	1	UnclassifiedPhage	Network
NC_010392	Salmonella enterica	Salmonella	1	UnclassifiedPhage	Network
NC_010393	Salmonella enterica	Salmonella	1	UnclassifiedPhage	Network
NC_010463	Salmonella enterica	Salmonella	1	Myoviridae	Network
NC_010495	Salmonella enterica	Salmonella	1	Siphoviridae	Network
NC_010576	Lactococcus lactis SMQ-450	Lactococcus	1	Siphoviridae	Network
NC_010583	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_010762	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_010763	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_010807	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_010808	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_010945	Streptococcus gordonii	Streptococcus	1	Siphoviridae	Network
NC_011019	Mycobacterium [pred]	Mycobacterium	1	Siphoviridae	Network
NC_011020	Mycobacterium [pred]	Mycobacterium	1	Siphoviridae	Network
NC_011021	Mycobacterium [pred]	Mycobacterium	1	Siphoviridae	Network
NC_011022	Mycobacterium [pred]	Mycobacterium	1	Siphoviridae	Network
NC_011023	Mycobacterium [pred]	Mycobacterium	1	Siphoviridae	Network
NC_011038	Yersinia pestis	Yersinia	1	Podoviridae	Network
NC_011039	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_011040	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_011041	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_011042	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_011044	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_011045	Escherichia coli	Escherichia	1	Podoviridae	Network
NC_011046	Lactococcus lactis [Poland]	Lactococcus	1	Siphoviridae	Network
NC_011048	Bacillus subtilis	Bacillus	1	Podoviridae	Network
NC_011054	Mycobacterium [pred]	Mycobacterium	1	Siphoviridae	Network
NC_011055	Mycobacterium [pred]	Mycobacterium	1	Siphoviridae	Network
NC_011056	Mycobacterium [pred]	Mycobacterium	1	Siphoviridae	Network
NC_011057	Mycobacterium [pred]	Mycobacterium	1	Siphoviridae	Network
NC_011105	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_011107	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_011165	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_011166	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_011167	Bacillus thuringiensis	Bacillus	1	Siphoviridae	Network
NC_011216	Burkholderia cenocepacia	Burkholderia	1	Myoviridae	Network
NC_011267	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_011269	Mycobacterium [pred]	Mycobacterium	1	Myoviridae	Network
NC_011270	Mycobacterium smegmatis	Mycobacterium	1	Myoviridae	Network
NC_011271	Mycobacterium [pred]	Mycobacterium	1	Myoviridae	Network
NC_011272	Mycobacterium [pred]	Mycobacterium	1	Myoviridae	Network
NC_011273	Mycobacterium smegmatis	Mycobacterium	1	Myoviridae	Network
NC_011284	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_011285	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_011286	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_011287	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_011288	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_011289	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_011290	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_011291	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_011292	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_011318	Clostridium perfringens	Clostridium	1	Siphoviridae	Network
NC_011344	Staphylococcus aureus	Staphylococcus	1	UnclassifiedPhage	Network
NC_011356	Escherichia coli	Escherichia	1	UnclassifiedPhage	Network
NC_011357	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_011373	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_011398	Clostridium difficile	Clostridium	1	Myoviridae	Network
NC_011421	Bacillus subtilis	Bacillus	1	Myoviridae	Network
NC_011523	Bacillus anthracis	Bacillus	1	Tectiviridae	Network
NC_011611	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_011612	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_011613	Pseudomonas aeruginosa	Pseudomonas	1	Siphoviridae	Network
NC_011614	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_011645	Bacillus [pred]	Bacillus	1	Siphoviridae	Network
NC_011756	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_011802	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_011810	Pseudomonas aeruginosa	Pseudomonas	1	Myoviridae	Network
NC_011976	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_012027	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_012223	Escherichia coli	Escherichia	1	Siphoviridae	Network
NC_012418	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_012635	Escherichia coli [pred]	Escherichia	1	Myoviridae	Network
NC_012638	Escherichia coli [pred]	Escherichia	1	Myoviridae	Network
NC_012662	Vibrio parahaemolyticus	Vibrio	1	Podoviridae	Network
NC_012663	Lactococcus lactis subsp. cremoris C10	Lactococcus	1	Siphoviridae	Network
NC_012740	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_012741	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_012743	Burkholderia cenocepacia	Burkholderia	1	Podoviridae	Network
NC_012749	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_012753	Streptococcus thermophilus	Streptococcus	1	Siphoviridae	Network
NC_012756	Streptococcus oralis	Streptococcus	1	Siphoviridae	Network
NC_012757	Vibrio cholerae	Vibrio	1	Inoviridae	Network
NC_012784	Staphylococcus aureus	Staphylococcus	1	UnclassifieddsDNAPhage	Network
NC_012788	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_012868	Escherichia coli	Escherichia	1	Microviridae	Network
NC_012884	Streptococcus mutans	Streptococcus	1	Siphoviridae	Network
NC_013055	Burkholderia pyrrocinia strain LMG 21824	Burkholderia	1	Siphoviridae	Network
NC_013059	Salmonella enterica	Salmonella	1	Podoviridae	Network
NC_013195	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_013594	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_013598	Streptococcus thermophilus	Streptococcus	1	Siphoviridae	Network
NC_013638	Pseudomonas fluorescens	Pseudomonas	1	Podoviridae	Network
NC_013645	Streptococcus thermophilus	Streptococcus	1	Siphoviridae	Network
NC_013650	Mycobacterium smegmatis	Mycobacterium	1	Myoviridae	Network
NC_013651	Vibrio [pred]	Vibrio	1	Podoviridae	Network
NC_013691	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_013692	Pseudomonas aeruginosa	Pseudomonas	1	Podoviridae	Network
NC_013693	Shigella boydii	Shigella	1	Myoviridae	Network
NC_013694	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_013936	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_014260	Escherichia coli	Escherichia	1	Myoviridae	Network
NC_014458	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_014459	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
NC_014460	Staphylococcus aureus	Staphylococcus	1	Siphoviridae	Network
NC_014461	Mycobacterium smegmatis	Mycobacterium	1	Siphoviridae	Network
